Armenia Matches:
  1587 : 4
  1590 : 2
  1595 : 4
  1598 : 2
  1604 : 3
  1608 : 1
  1616 : 1
  1617 : 1
  1618 : 4
  1619 : 10
  1626 : 2
  1628 : 3
  1638 : 2
  1641 : 1
  1655 : 4
  1656 : 6
Bulgaria Matches:
  1587 : 1
  1619 : 8
China Matches:
  1602 : 1
  1604 : 2
  1607 : 1
  1611 : 1
  1612 : 2
  1614 : 1
  1615 : 1
  1616 : 6
  1622 : 1
  1624 : 3
  1625 : 12
  1629 : 1
  1630 : 1
  1633 : 1
  1635 : 3
  1637 : 2
  1651 : 4
  1656 : 1
  1662 : 1
Cyprus Matches:
  1585 : 1
  1587 : 3
  1589 : 2
  1590 : 2
  1592 : 1
  1594 : 25
  1595 : 1
  1598 : 2
  1599 : 26
  1600 : 1
  1604 : 2
  1606 : 1
  1608 : 1
  1610 : 1
  1616 : 2
  1619 : 2
  1624 : 1
  1625 : 15
  1626 : 5
  1628 : 8
  1631 : 1
  1637 : 1
  1638 : 1
  1639 : 2
  1642 : 1
  1646 : 1
  1647 : 5
  1651 : 13
  1652 : 1
  1653 : 1
  1662 : 2
Denmark Matches:
  1587 : 3
  1590 : 7
  1591 : 2
  1592 : 1
  1594 : 21
  1599 : 18
  1605 : 1
  1607 : 1
  1625 : 3
  1641 : 13
  1648 : 1
  1649 : 1
  1655 : 4
Egypt Matches:
  1538 : 1
  1562 : 1
  1566 : 1
  1575 : 4
  1583 : 2
  1584-B00396 : 2
  1586-A07023 : 1
  1587 : 24
  1589 : 5
  1590 : 3
  1591 : 1
  1592 : 4
  1594 : 14
  1595 : 62
  1596 : 15
  1597 : 1
  1598 : 3
  1599 : 2
  1600 : 2
  1602 : 1
  1604 : 2
  1605 : 2
  1607 : 5
  1608 : 1
  1610 : 2
  1611 : 7
  1612 : 10
  1613 : 6
  1614 : 1
  1615 : 3
  1616 : 6
  1618 : 2
  1620 : 4
  1621 : 2
  1622 : 8
  1623 : 1
  1624 : 6
  1625 : 99
  1626 : 28
  1629 : 1
  1631 : 4
  1632 : 4
  1633 : 2
  1634 : 1
  1635 : 3
  1636 : 1
  1637 : 4
  1638 : 15
  1639 : 9
  1640 : 24
  1641 : 2
  1642 : 2
  1646 : 3
  1648 : 1
  1649 : 3
  1651 : 1
  1652 : 4
  1654 : 1
  1655 : 2
  1656 : 1
  1657 : 3
  1658 : 1
  1659 : 2
  1660 : 2
  1662 : 1
England Matches:
  1514-A04053 : 1
  1538 : 2
  1544-A03177 : 1
  1560 : 1
  1562 : 2
  1565 : 2
  1570 : 2
  1578 : 2
  1587 : 4
  1588 : 5
  1589 : 3
  1590 : 14
  1591 : 194
  1592 : 121
  1593 : 6
  1594 : 109
  1595 : 48
  1596 : 17
  1597 : 22
  1598 : 16
  1599 : 76
  1600 : 1
  1601 : 13
  1602 : 56
  1603 : 11
  1604 : 24
  1605 : 102
  1606 : 1
  1607 : 25
  1608 : 60
  1609 : 6
  1610 : 7
  1611 : 13
  1612 : 7
  1613 : 30
  1614 : 23
  1616 : 19
  1617 : 2
  1618 : 7
  1619 : 5
  1621 : 5
  1622 : 1
  1623 : 1
  1624 : 5
  1625 : 105
  1627 : 3
  1628 : 4
  1629 : 2
  1630 : 31
  1631 : 44
  1632 : 12
  1633 : 27
  1634 : 4
  1635 : 12
  1637 : 15
